订单号, 发送方, 用户ID, 聊愈师ID, 聊天时间, 类型, 聊天内容
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:13:44,聊天消息,而且我在想我是先和我男朋友说，还是先和我的家里人说
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:13:50,聊天消息,我也怕和家里人说了，他们一直担心
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:13:55,聊天消息,但是感觉还是有必要说一下
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:14:25,聊天消息,因为我后面想呆在家里备考
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:14:35,聊天消息,他们担心也是正常的反应
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:14:50,聊天消息,我想你或许也可以给到他们一些安全感
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:14:50,聊天消息,他们肯定是觉得我做的不好，才会被裁掉
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:15:02,聊天消息,比如你对未来的安全和规划
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:15:19,聊天消息,嗯嗯，听起来会有一些责怪
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:15:38,聊天消息,这的确会令人感到有压力
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:15:50,聊天消息,我觉得我和我男朋友要谈婚论嫁了，但是他的工作地点经常变动，所以我在想这是不是也是一个契机，让我好好的去安心考试，然后考上体制内
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:16:35,聊天消息,听起来这样的选择也不错
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:16:49,聊天消息,而且我在想我是先和老爸老妈说，还是先和我男朋友说
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:16:54,聊天消息,而且备婚之类的也需要时间准备
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:17:08,聊天消息,我想先得到一方支持，再告诉另外一方
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:17:17,聊天消息,这样让我有底气一点，让我胆子大一
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:17:29,聊天消息,你觉得他们谁更会支持和理解你多一些呢
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:17:49,聊天消息,凭借过往的相处经验
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:17:50,聊天消息,我觉得都会支持我，但我觉得我男朋友可能比较理解我的处境吧，但我也不太确定
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:18:05,聊天消息,我爸爸他是不太赞同我全职的
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:18:11,聊天消息,但他也不是那种很死板的
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:18:25,聊天消息,但是我现在辞职了，很有可能会影响我和我男朋友结婚的事情，所以我觉得可能要和家里人说了，才能和我男朋友说
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:18:58,聊天消息,嗯嗯，你似乎已经有了决定
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:19:18,聊天消息,我想和我家里人先说，是因为他们可以帮我商讨一下辞职之后结婚这件事情该怎么办？想和我男朋友先说是因为我男朋友可能比较理解我的处境，他可能会理解我全职这个状态
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:19:29,聊天消息,这让我很纠结
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:19:35,聊天消息,我也不知道，我心里倾向于哪一方
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:19:50,聊天消息,全职备考吗
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:19:54,聊天消息,是的
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:20:13,聊天消息,因为其实我连续这三年上班很累，我也想休息一下，我不想老是那么紧张
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:20:24,聊天消息,当真的被裁了之后，有一种一个大石头落地的感觉
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:20:34,聊天消息,那一刻其实没有很难过
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:20:39,聊天消息,只是担心怎么和家里人说
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:20:46,聊天消息,和身边亲密的人说
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:20:53,聊天消息,嗯嗯，听起来男友或许会更理解你脱产备考，但也可能会因为被裁而改变对你的看法，是这样吗？
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:21:00,聊天消息,是的
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:21:17,聊天消息,但我也不知道她会不会
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:21:22,聊天消息,我没说过，不知道
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:21:44,聊天消息,所以我在想我要不要勇敢的告诉他？
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:21:53,聊天消息,因为老师这样瞒着也不是办法，你总有一天要诚实的面对对方
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:21:58,聊天消息,听起来你焦虑的程度还是比较重的
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:21:57,聊天消息,我就是我，就是没有那么优秀
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:22:27,聊天消息,我想尝试着告诉他
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:22:31,聊天消息,“被裁”会影响你对自我的价值评价吗
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:22:31,聊天消息,但是我又没有勇气
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:22:40,聊天消息,嗯嗯，我感受到了
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:22:39,聊天消息,有点儿
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:22:46,聊天消息,但是我觉得我也并没有那么糟糕
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:22:58,聊天消息,因为我在之前的那个岗位没有出现这样的情况
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:23:01,聊天消息,你想要坦诚地告诉他，但也担心因此影响到你们的关系
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:23:07,聊天消息,是的
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:23:32,聊天消息,可能不能两全
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:23:37,聊天消息,是不是？
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:23:41,聊天消息,如果他因为你被裁而选择离开你，这样会让你有什么样的感受呢
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:23:56,聊天消息,他不是真的爱我
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:24:03,聊天消息,他没办法和我并肩作战
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:24:10,聊天消息,我知道，就说明他不是对的人
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:24:20,聊天消息,嗯嗯
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:24:23,聊天消息,我挺害怕是这样的结果，所以没有勇气面对
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:24:34,聊天消息,我明白你的感受
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:24:42,聊天消息,但内心当中又觉得他不是的，所以想告诉他，但我又不能完全保证
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:24:54,聊天消息,这或许是对你们关系的一次挑战
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:25:21,聊天消息,可如果不告诉他，你内心也会因此感到煎熬
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:27:11,聊天消息,其实你本身也在考虑是否辞职去全心备考，似乎只是“主动辞职”和“被裁”两件事所带给你的感受不同
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:27:21,聊天消息,是的
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:27:44,聊天消息,主动辞职是有选择权的，而被裁则给你带来了一定的挫败感
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:27:51,聊天消息,而且这个事情发生的很突然
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:27:57,聊天消息,让我有点措手不及
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:28:01,聊天消息,是的
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:28:10,聊天消息,嗯嗯，所以这个时候更要做好自我关怀
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:28:42,聊天消息,在你感到挫败和被否认时，可能对关系的想象则会更偏负面
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:29:23,聊天消息,可以试着回想下和男友相处时对方是否更多支持和理解你
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:29:55,聊天消息,好的
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:30:04,聊天消息,那父母那边
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:30:10,聊天消息,我该怎么处理
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:30:19,聊天消息,父母那边可以预设一下他们的反应
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:30:24,聊天消息,我觉得我的爸爸妈妈应该会理解我，但是我还是不知道如何说
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:30:31,聊天消息,他们肯定也会担心
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:30:38,聊天消息,我想你更周全的考虑和安排会给到他们一些安全感
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:31:26,聊天消息,比如，就像你刚刚所跟我说的，过去三年所感到的压力和挑战，希望给自己时间稍微休息休息调整状态
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:31:47,聊天消息,以及这段时间可以更好地备考、备婚
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:31:55,聊天消息,你觉得是否可行呢
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:32:19,聊天消息,我懂了呢
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:32:49,聊天消息,唉
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:33:15,聊天消息,来自他们任何一方的支持对你都是重要的，但更重要的是你对自己的关怀和肯定
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:33:32,聊天消息,我该怎么关怀和肯定自己？
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:33:38,聊天消息,突如其来的被裁，对大多数人都是一定的打击
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:33:40,聊天消息,我觉得我现在对这件事情的感受很复杂
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:33:48,聊天消息,可以试着讲出来
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:33:58,聊天消息,我好像没有很伤心
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:34:09,聊天消息,但是你说完全不伤心，那也不是
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:34:16,聊天消息,毕竟前路迷茫，也不一定考得上
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:34:25,聊天消息,但是我内心不知道为什么多了一种平静感
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:34:31,聊天消息,不知道为啥会出现这种感觉
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:34:43,聊天消息,我感觉如果我和我男朋友还有家里人说，我感觉我可以很轻松的平静一段时间
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:34:50,聊天消息,我想这可能和你过往在工作中的感受相关
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:35:05,聊天消息,你刚刚说其实你也在考虑是否辞职
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:35:12,聊天消息,我从事的是一份教师工作，那个学生很难管，我觉得要去控制学生好难
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:35:21,聊天消息,但我确实除了这一行之外，我不知道干什么，我没有钱
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:35:31,聊天消息,但是你让我去那样发火，去管学生去强制别人做事情，我真的好难
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:35:46,聊天消息,我不是一个很强势的人，我不是很会发火，我不是很会管学生
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:36:12,聊天消息,我不会去教育和管别人，我也不喜欢去教育我身边的同事，我的伴侣
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:36:29,聊天消息,我总觉得每个人是对自己人生负责
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:36:34,聊天消息,我感受到你有些对自己的否定，以及无力感
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:36:40,聊天消息,但是教师这个行业好像我要对那四五十个人的人生负责
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:36:50,聊天消息,对，我从事这个行业的时候会有这样的感觉，但我又不得不从事，因为我的专业是这
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:36:54,聊天消息,这样的描述的确压力很大
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:37:06,聊天消息,对别人的人生负责，还是四五十个
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:37:11,聊天消息,因为他成绩不好，会影响他考大学
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:37:20,聊天消息,我不管他们，他们成绩就会不好，我教学就失败
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:37:26,聊天消息,我管他们，我心力交瘁
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:37:32,聊天消息,明白
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:37:50,聊天消息,所以这份工作结束的时候，我有一种平静感
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:38:00,聊天消息,不过，老师也是教育和督导的角色，最终的人生还是要自己选、自己负担
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:38:16,聊天消息,你过去三年也真的很辛苦
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:38:17,聊天消息,但确实我又需要一份工作来养自己
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:38:56,聊天消息,这样被动的结束，可能对我来说也是好的，帮我做了选择
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:38:57,聊天消息,或许可以看看别的机会，是否有适合的兼职可以同时兼顾备考和一部分生活零用
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:39:08,聊天消息,可能我确实不太适合这个工作
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:39:10,聊天消息,是呢，我想平静感或许来自这里
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:39:26,聊天消息,帮你离开了一份不适合的工作
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:39:37,聊天消息,  所以我有时候在想，我并不失败，可能我真的是不适合
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:39:40,聊天消息,也不是我懒惰
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:39:44,聊天消息,也不是我不负责
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:39:48,聊天消息,我也很用力的在做
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:39:54,聊天消息,但我真的好像做不好
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:40:03,聊天消息,我在很努力的调整
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:40:08,聊天消息,但还是做的没别人好
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:40:24,聊天消息,是的，如果用尽力气还是做不好，那大概就是不适合
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:40:32,聊天消息,每个人的天赋和潜能不同
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:40:40,聊天消息,谢谢你
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:40:48,聊天消息,而且一直这样强迫自己做这些事情，我真的很难受
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:40:52,聊天消息,在不适合的地方持续努力反倒会产生更多的挫败感
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:40:51,聊天消息,我想诚实的面对自己
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:40:55,聊天消息,所以我想把这个事实告诉他
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:41:03,聊天消息,嗯嗯，相信自己
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:41:13,聊天消息,诚实的面对自己，面对关系，面对工作
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:41:25,免费消息,不管对方的反应如何，你都是值得被爱的
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:41:39,免费消息,不过，我觉得或许结果没有我们想象的那么糟糕
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:42:11,免费消息,最近要关照好自己的情绪哦
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:42:27,免费消息,好好吃饭，充足睡眠，维持日常生活
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:42:36,免费消息,那我就先告诉家里人，再告诉他，然后就专心的备考，专心的结婚，如果他不愿意和我结婚，就说明他不是对的人
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:42:44,免费消息,是的
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:43:01,免费消息,好好沟通
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:44:08,免费消息,可以停下来的对不对？也不是说每时每刻都要这种不间断的去工作或者去学习我的人生不是一个一条线或者是一条
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:44:35,免费消息,当然了
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:44:58,免费消息,适时地停顿，或许可以喜欢浮现
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:46:09,免费消息,我今年其实也在gap中，有时间停下来去重新思考自己想做什么，其实也很难得
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:47:01,免费消息,偶尔的焦虑会有的，但不会觉得浪费了时间
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:47:12,免费消息,希望可以给你一点力量
1028769935218063791,1616077963832275,1616077963832275,1590679813878402,2024-01-11 18:47:43,免费消息,谢谢你，我从读高中开始就一直很焦虑一直害怕落后一直和别人比较，很少听从自己的心，没有过上自己的人生
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:48:25,免费消息,或许这就是上帝踢你的一脚
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:48:57,免费消息,你的焦虑是有历史原因的，给自己点时间去慢慢探索，状态是可以调整的
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:49:18,免费消息,祝你一切都好，时间会给我们答案的
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:49:25,免费消息,也谢谢你的信任哦
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:49:57,免费消息,在沟通中我也感受到了你对生活的很多觉察和思考，这其实并不容易，多肯定自己一些呀
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-11 18:50:05,免费消息,那我们今天就先聊到这里吧
1028769935218063791,1590679813878402,1616077963832275,1590679813878402,2024-01-12 19:58:14,免费消息,【本次小结】
你好，昨天你和我聊了不知道如何告诉家人和男友自己被裁的事情，在沟通过程中我们了解到你也考虑过自己与工作的适配度，也在考虑是否辞职考公，而当下的顾虑主要有两点：1.你的男友会因此而看低你，从而影响到你们之间的感情；2.家人会因此而责备你，或不支持你全职备考。

对于家人，可以试着向他们表达你对于未来的职业规划，当你对自己的未来更笃定，我想他们或许也会因此更加安心。而对于你和男友的感情，我想这也将会是一次小小的考验。无论结果如何，请相信你本身就是值得被爱的，不需要任何前提。

最后，我想说的是：突然被裁这件事会影响你的情绪以及对自我的认知，这段时间更多关照自己的情绪，不要因此而否定自我价值。有时候，勇敢告别不适合的境况，也会收获新的辽阔。祝你一切都好，时间会给我们答案的。未来有任何想要谈论的问题，也随时可以再找我沟通。 星兜
1413532531678357852,1570457092657504,1702630845652918,1570457092657504,2024-01-11 20:48:10,免费消息,你好，我是叶子。每个人的人生路上都会遇到一些困扰和烦心事儿，如果你有一些想探索的，我愿意陪你一起去看看~

【我的擅长领域】
-情绪困扰
（焦虑、纠结、隔离、自我怀疑、自我否定、敏感、压抑、自责）
-负面经历的影响
（家庭、情感、人际、丧失与哀悼）
-人际困扰
（边界感、敌对感、社交恐惧、沟通）

【个人咨询实例】
一个被男友PUA的女孩，觉得自己真的很不好，为此痛苦失眠。经过咨询，我帮她梳理了很多压抑的感受，以及背后童年经历的影响，帮助她重新接纳自己。

想要知道我是不是适合你的聊愈师，可以点击我的头像，查看我详细的个人介绍和个人动态。
1413532531678357852,1702630845652918,1702630845652918,1570457092657504,2024-01-11 20:49:48,免费消息,你好 请问可以咨询恋爱方面的吗
1413532531678357852,1570457092657504,1702630845652918,1570457092657504,2024-01-11 20:50:43,免费消息,具体是恋爱的哪个方面呢？我需要再多一点信息评估一下~
1413532531678357852,1702630845652918,1702630845652918,1570457092657504,2024-01-11 20:51:25,免费消息,应该是前男友出轨以及和现男友在一起的自我消耗吧
1413532531678357852,1570457092657504,1702630845652918,1570457092657504,2024-01-11 20:51:56,免费消息,可以咨询的
1413532531678357852,1570457092657504,1702630845652918,1570457092657504,2024-01-11 20:52:23,免费消息,你想先从哪个地方说起？
1413532531678357852,1570457092657504,1702630845652918,1570457092657504,2024-01-11 20:52:56,免费消息,从你自己想到的任何地方开始都是可以的
1413532531678357852,1702630845652918,1702630845652918,1570457092657504,2024-01-11 20:55:12,免费消息,我和前任是2020年10月份认识的 大概了解认识3天就在一起了（当时很颜控 一见钟情）
1413532531678357852,1702630845652918,1702630845652918,1570457092657504,2024-01-11 20:55:49,免费消息,我们在一起的过程就很不好 我被pua啊 然后他会找我借钱啊 还会几个小时都不回消息 最后是他出轨结束
